YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,1,4,AA,89,IAH,MIA,520,141,964,841,0,0,,0.0,0.0,54.0,0.0,0.0,54.0,,,,,,,,,,
2015,1,1,4,DL,2099,BNA,DTW,520,103,456,803,0,0,,,,,,,-6.0,,,,,,,,,,
2015,1,1,4,EV,4685,BRO,IAH,520,74,308,634,0,0,,,,,,,-5.0,,,,,,,,,,
2015,1,1,4,EV,5583,VPS,ATL,520,66,250,726,0,0,,,,,,,-15.0,,,,,,,,,,
2015,1,1,4,OO,5484,BOI,SFO,520,112,522,612,0,0,,,,,,,3.0,,,,,,,,,,
2015,1,1,4,OO,7370,BJI,MSP,520,60,199,620,0,0,,,,,,,9.0,,,,,,,,,,
2015,1,1,4,HA,103,HNL,LIH,523,37,102,600,0,0,,,,,,,-12.0,,,,,,,,,,
2015,1,1,4,EV,5187,BNA,ATL,525,65,214,730,0,0,,,,,,,5.0,,,,,,,,,,
2015,1,1,4,MQ,2859,SGF,DFW,525,95,364,700,0,1,B,,,,,,,,,,,,,,,,
2015,1,1,4,UA,1201,PHL,IAH,530,230,1325,820,0,0,,,,,,,6.0,,,,,,,,,,
2015,1,1,4,UA,1221,PDX,DEN,530,142,991,852,0,0,,,,,,,4.0,,,,,,,,,,
2015,1,1,4,UA,1607,SEA,DEN,530,157,1024,907,0,0,,,,,,,-1.0,,,,,,,,,,
2015,1,1,4,AA,328,DEN,DFW,530,125,641,835,0,0,,13.0,0.0,53.0,0.0,0.0,66.0,,,,,,,,,,
2015,1,1,4,EV,5764,SBN,ORD,530,55,84,525,0,0,,,,,,,-14.0,,,,,,,,,,
2015,1,1,4,F9,1279,PHL,MCO,530,160,861,810,0,0,,,,,,,-18.0,,,,,,,,,,
2015,1,1,4,NK,409,ORD,FLL,530,188,1182,938,0,0,,,,,,,-25.0,,,,,,,,,,
2015,1,1,4,OO,5460,RDD,SFO,530,90,199,700,0,1,A,,,,,,,,,,,,,,,,
2015,1,1,4,OO,6391,EUG,DEN,530,163,996,913,0,0,,,,,,,13.0,,,,,,,,,,
2015,1,1,4,UA,1532,SFO,DEN,531,146,967,857,0,0,,7.0,0.0,19.0,0.0,0.0,26.0,,,,,,,,,,
2015,1,1,4,UA,1167,ORD,DEN,533,167,888,720,0,0,,,,,,,3.0,,,,,,,,,,
2015,1,1,4,UA,1012,IAD,IAH,535,207,1190,802,0,0,,,,,,,14.0,,,,,,,,,,
2015,1,1,4,B6,2001,BUF,JFK,535,88,301,703,0,0,,,,,,,-15.0,,,,,,,,,,
2015,1,1,4,B6,2807,PWM,JFK,535,85,273,700,0,0,,,,,,,-25.0,,,,,,,,,,
2015,1,1,4,B6,2023,JFK,SJU,535,225,1598,1020,0,0,,0.0,0.0,19.0,0.0,0.0,19.0,,,,,,,,,,
2015,1,1,4,EV,4557,CRP,IAH,535,61,201,636,0,0,,,,,,,-21.0,,,,,,,,,,
